Site2_MeltingT,Site1_NdValence,Site2_GSestFCClatcnt,AtomicRadii_min_value,ElectricalConductivity_min_value,Site2_BCCenergy_pa,NdUnfilled_composition_average,Row_max_value,SecondIonizationEnergy_max_value,NdValence_difference,Site2_Column,Site2_NdUnfilled,Site2_GSenergy_pa,valence_composition_average,Site2_CovalentRadii,ThermalExpansionCoefficient_min_value,HeatFusion_composition_average,Site2_HeatFusion,NdUnfilled_max_value,n_ws^third_max_value,HeatFusion_min_value,IonicRadii_min_value,Site2_SpaceGroupNumber,Site2_NdValence,Material compositions 1,Material compositions 2,E_regression,E_regression_shift,group
1211.4,0.0,4.514684539,1.37,3e-06,-4.27836489,0.0,4.0,18.828,0.0,14.0,0.0,-4.616039545,3.5,1.22,5.7,23.825,36.94,0.0,1.39,10.71,0.53,225.0,10.0,Al,Ge,1.15506,-0.11104,Pure Non-Transition Metals
429.75,0.0,4.595332379,1.43,3.4,-2.65390512,0.0,5.0,18.869,0.0,13.0,0.0,-2.66680196,3.0,1.44,23.1,7.0005,3.291,0.0,1.39,3.291,0.54,139.0,10.0,Al,In,1.10136,-0.16474,Pure Non-Transition Metals
923.0,0.0,4.50714913,1.43,22.4,-1.51367083,0.0,3.0,18.828,0.0,2.0,0.0,-1.54227231,2.5,1.36,23.1,9.595,8.48,0.0,1.39,8.48,0.54,194.0,0.0,Al,Mg,1.24671,-0.01939,Pure Non-Transition Metals
370.87,0.0,4.890601634,1.43,20.1,-1.2544847,0.0,3.0,47.286,0.0,1.0,0.0,-1.260241383,2.0,1.54,23.1,6.655,2.6,0.0,1.39,2.6,0.54,229.0,0.0,Al,Na,1.19687,-0.06923,Pure Non-Transition Metals
1294.0,0.0,5.183081107,1.43,1.6,-4.6307523,0.0,6.0,18.828,0.0,3.0,0.0,-4.76235134,3.0,1.64,6.9,8.925,7.14,0.0,1.39,7.14,0.54,194.0,0.0,Al,Nd,0.9308,-0.3353,Pure Non-Transition Metals
317.3,0.0,4.486063093,1.28,1e-16,-4.6830362,0.0,3.0,19.725,0.0,15.0,0.0,-5.400509043,4.0,1.06,23.1,14.625,18.54,0.0,1.65,10.71,0.17,2.0,0.0,Al,P,1.03897,-0.22713,Pure Non-Transition Metals
600.61,0.0,4.826588558,1.43,4.8,-3.58277457,0.0,6.0,18.828,0.0,14.0,0.0,-3.62902961,3.5,1.47,23.1,7.742,4.774,0.0,1.39,4.774,0.54,225.0,10.0,Al,Pb,0.94554,-0.32056,Pure Non-Transition Metals
388.36,0.0,4.689784664,1.27,5e-16,-3.00278915,0.0,3.0,23.33,0.0,16.0,0.0,-4.097216719,4.5,1.02,23.1,6.2155,1.721,0.0,1.39,1.721,0.29,70.0,0.0,Al,S,1.11138,-0.15472,Pure Non-Transition Metals
903.78,0.0,5.016478962,1.43,2.6,-3.88991513,0.0,5.0,18.828,0.0,15.0,0.0,-4.11736234,4.0,1.4,11.0,15.25,19.79,0.0,1.39,10.71,0.54,166.0,10.0,Al,Sb,1.02572,-0.24038,Pure Non-Transition Metals
494.0,0.0,4.697841169,1.4,8.0,-2.90074111,0.0,4.0,21.19,0.0,16.0,0.0,-3.47079191,4.5,1.16,23.1,8.7,6.69,0.0,1.39,6.69,0.5,14.0,10.0,Al,Se,0.82351,-0.44259,Pure Non-Transition Metals
1687.0,0.0,4.340238825,1.32,0.0004,-4.90201039,0.0,3.0,18.828,0.0,14.0,0.0,-5.424918005,3.5,1.11,2.6,30.46,50.21,0.0,1.5,10.71,0.26,227.0,0.0,Al,Si,1.11237,-0.15373,Pure Non-Transition Metals
505.08,0.0,5.106259136,1.43,8.7,-3.89492544,0.0,5.0,18.828,0.0,14.0,0.0,-3.96104709,3.5,1.41,22.0,8.93,7.15,0.0,1.39,7.15,0.54,141.0,10.0,Al,Sn,1.0706,-0.1955,Pure Non-Transition Metals
722.66,0.0,5.180763906,1.43,0.0002,-2.83411842,0.0,5.0,18.828,0.0,16.0,0.0,-3.141302507,4.5,1.36,18.8,14.045,17.38,0.0,1.39,10.71,0.54,152.0,10.0,Al,Te,0.90478,-0.36132,Pure Non-Transition Metals
577.0,0.0,4.756905929,1.43,5.6,-2.25289773,0.0,6.0,20.428,0.0,13.0,0.0,-2.27267753,3.0,1.48,23.1,7.426,4.142,0.0,1.39,4.142,0.54,194.0,10.0,Al,Tl,0.98934,-0.27676,Pure Non-Transition Metals
1337.33,10.0,4.057502731,1.442,48.8,-3.18445282,0.0,6.0,20.521,0.0,11.0,0.0,-3.20969261,3.0,1.34,14.2,12.55,12.55,0.0,1.57,12.55,0.85,225.0,10.0,Au,Au,1.7847,0.0,Pure Transition Metals
1234.93,10.0,4.027313074,1.442,48.8,-2.71997917,0.0,6.0,21.49,0.0,11.0,0.0,-2.76539356,2.5,1.34,14.2,11.925,11.3,0.0,1.57,11.3,0.85,225.0,10.0,Au,Ag,1.8195,0.0348,Pure Transition Metals
594.22,10.0,4.272293466,1.442,14.7,-0.74033904,0.0,6.0,20.521,0.0,12.0,0.0,-0.812174225,2.5,1.41,14.2,9.38,6.21,0.0,1.57,6.21,0.85,194.0,10.0,Au,Cd,1.7295,-0.0552,Pure Transition Metals
2896.0,10.0,3.973998007,1.362,17.3,-10.84610777,2.5,6.0,20.521,5.0,6.0,5.0,-10.84610777,4.5,1.3,4.8,25.015,37.48,5.0,1.77,12.55,0.59,229.0,5.0,Au,Mo,2.8125,1.0278,Pure Transition Metals
2750.0,10.0,4.173988903,1.429,6.6,-10.09332153,3.0,6.0,20.521,6.0,5.0,6.0,-10.09332153,4.0,1.34,7.3,21.275,30.0,6.0,1.64,12.55,0.64,229.0,4.0,Au,Nb,2.7627,0.978,Pure Transition Metals
1828.05,10.0,3.862851303,1.375,10.0,-5.0910129,0.0,6.0,20.521,0.0,10.0,0.0,-5.13777457,3.5,1.28,11.8,14.645,16.74,0.0,1.67,12.55,0.64,225.0,10.0,Au,Pd,2.2041,0.4194,Pure Transition Metals
2237.0,10.0,3.79278409,1.345,23.0,-6.90998391,1.0,6.0,20.521,2.0,9.0,2.0,-7.25364552,4.5,1.25,8.2,19.57,26.59,2.0,1.76,12.55,0.67,225.0,8.0,Au,Rh,2.5423,0.7576,Pure Transition Metals
2607.0,10.0,3.780696194,1.325,14.9,-8.57093238,1.5,6.0,20.521,3.0,8.0,3.0,-9.19463357,5.5,1.25,6.4,25.57,38.59,3.0,1.83,12.55,0.62,194.0,7.0,Au,Ru,2.7173,0.9326,Pure Transition Metals
2430.0,10.0,3.851649375,1.358,0.001,-10.09176138,2.5,6.0,20.521,5.0,7.0,5.0,-10.3551512,5.0,1.27,8.0,22.92,33.29,5.0,1.81,12.55,0.56,194.0,5.0,Au,Tc,2.7899,1.0052,Pure Transition Metals
1799.0,10.0,5.058773104,1.442,1.8,-6.34029752,4.5,6.0,20.521,9.0,3.0,9.0,-6.464599775,3.0,1.62,11.3,11.97,11.39,9.0,1.57,11.39,0.85,194.0,1.0,Au,Y,1.8551,0.0704,Pure Transition Metals
2128.0,10.0,4.527079516,1.442,2.3,-8.46727487,4.0,6.0,20.521,8.0,4.0,8.0,-8.545958555,3.5,1.45,5.7,16.775,21.0,8.0,1.57,12.55,0.84,194.0,2.0,Au,Zr,2.4818,0.6971,Pure Transition Metals
1115.0,0.0,5.326014266,1.97,31.3,-1.92725921,0.0,4.0,11.871,0.0,2.0,0.0,-1.948329565,2.0,1.74,22.3,8.54,8.54,0.0,0.91,8.54,1.0,225.0,0.0,Ca,Ca,1.6689,0.0,Pure Non-Transition Metals
1357.77,10.0,3.537821124,1.278,60.7,-3.64288728,0.0,4.0,20.292,0.0,11.0,0.0,-3.68065482,2.0,1.17,16.5,13.6,13.6,0.0,1.47,13.6,0.73,225.0,10.0,Cu,Cu,2.0802,0.0,Pure Transition Metals
1234.93,10.0,4.027313074,1.278,60.7,-2.71997917,0.0,5.0,21.49,0.0,11.0,0.0,-2.76539356,2.0,1.34,16.5,12.45,11.3,0.0,1.47,11.3,0.73,225.0,10.0,Cu,Ag,1.9474,-0.1328,Pure Transition Metals
1337.33,10.0,4.057502731,1.278,48.8,-3.18445282,0.0,6.0,20.521,0.0,11.0,0.0,-3.20969261,2.5,1.34,14.2,13.075,12.55,0.0,1.57,12.55,0.73,225.0,10.0,Cu,Au,1.97207,-0.10813,Pure Transition Metals
594.22,10.0,4.272293466,1.278,14.7,-0.74033904,0.0,5.0,20.292,0.0,12.0,0.0,-0.812174225,2.0,1.41,16.5,9.905,6.21,0.0,1.47,6.21,0.73,194.0,10.0,Cu,Cd,1.90016,-0.18004,Pure Transition Metals
1768.0,10.0,3.447656463,1.253,17.9,-6.98008657,1.5,4.0,20.292,3.0,9.0,3.0,-7.080389145,2.5,1.16,13.0,14.9,16.2,3.0,1.75,13.6,0.65,194.0,7.0,Cu,Co,2.47185,0.39165,Pure Transition Metals
2180.0,10.0,3.550558664,1.249,7.9,-9.50480758,2.5,4.0,20.292,5.0,6.0,5.0,-9.50571654,4.0,1.18,4.9,17.3,21.0,5.0,1.73,13.6,0.62,229.0,5.0,Cu,Cr,2.15149,0.07129,Pure Transition Metals
1811.0,10.0,3.501224062,1.241,11.2,-8.28548436,2.0,4.0,20.292,4.0,8.0,4.0,-8.28548436,4.0,1.17,11.8,13.705,13.81,4.0,1.77,13.6,0.55,229.0,6.0,Cu,Fe,2.47732,0.39712,Pure Transition Metals
2506.0,10.0,4.461398209,1.278,3.4,-9.77464936,4.0,6.0,20.292,8.0,4.0,8.0,-9.954299335,3.0,1.44,5.9,20.4,27.2,8.0,1.47,13.6,0.73,194.0,2.0,Cu,Hf,1.92442,-0.15578,Pure Transition Metals
234.32,10.0,4.656246199,1.278,1.0,-0.15983096,0.0,6.0,20.292,0.0,12.0,0.0,-0.250105562,2.0,1.49,16.5,7.9475,2.295,0.0,1.47,2.295,0.73,166.0,10.0,Cu,Hg,1.85082,-0.22938,Pure Transition Metals
2739.0,10.0,3.84489682,1.278,21.3,-8.22715557,1.5,6.0,20.292,3.0,9.0,3.0,-8.84851145,2.5,1.27,6.4,27.36,41.12,3.0,1.83,13.6,0.63,225.0,7.0,Cu,Ir,2.67585,0.59565,Pure Transition Metals
1519.0,10.0,3.474656242,1.24,0.5,-8.87041076,2.5,4.0,20.292,5.0,7.0,5.0,-9.02056525,4.5,1.17,16.5,13.255,12.91,5.0,1.61,12.91,0.67,217.0,5.0,Cu,Mn,2.03472,-0.04548,Pure Transition Metals
2896.0,10.0,3.973998007,1.278,17.3,-10.84610777,2.5,5.0,20.292,5.0,6.0,5.0,-10.84610777,4.0,1.3,4.8,25.54,37.48,5.0,1.77,13.6,0.59,229.0,5.0,Cu,Mo,2.23051,0.15031,Pure Transition Metals
2750.0,10.0,4.173988903,1.278,6.6,-10.09332153,3.0,5.0,20.292,6.0,5.0,6.0,-10.09332153,3.5,1.34,7.3,21.8,30.0,6.0,1.64,13.6,0.64,229.0,4.0,Cu,Nb,1.99466,-0.08554,Pure Transition Metals
1728.0,10.0,3.456049039,1.246,14.6,-5.43913904,1.0,4.0,20.292,2.0,10.0,2.0,-5.54632457,2.5,1.15,13.4,15.54,17.48,2.0,1.75,13.6,0.69,225.0,8.0,Cu,Ni,2.35912,0.27892,Pure Transition Metals
3306.0,10.0,3.834043137,1.278,12.3,-10.33236566,2.0,6.0,20.292,4.0,8.0,4.0,-11.22070399,5.0,1.26,5.1,35.725,57.85,4.0,1.85,13.6,0.63,194.0,6.0,Cu,Os,2.72908,0.64888,Pure Transition Metals
1828.05,10.0,3.862851303,1.278,10.0,-5.0910129,0.0,5.0,20.292,0.0,10.0,0.0,-5.13777457,3.0,1.28,11.8,15.17,16.74,0.0,1.67,13.6,0.64,225.0,10.0,Cu,Pd,2.21185,0.13165,Pure Transition Metals
2041.4,10.0,3.91660681,1.278,9.4,-5.92513799,0.5,6.0,20.292,1.0,10.0,1.0,-6.02850968,3.0,1.3,8.8,17.8875,22.175,1.0,1.78,13.6,0.63,225.0,9.0,Cu,Pt,2.42608,0.34588,Pure Transition Metals
3459.0,10.0,3.884620563,1.278,5.8,-12.10177805,2.5,6.0,20.292,5.0,7.0,5.0,-12.41702777,4.5,1.28,6.2,23.84,34.08,5.0,1.85,13.6,0.53,194.0,5.0,Cu,Re,2.63506,0.55486,Pure Transition Metals
2237.0,10.0,3.79278409,1.278,23.0,-6.90998391,1.0,5.0,20.292,2.0,9.0,2.0,-7.25364552,4.0,1.25,8.2,20.095,26.59,2.0,1.76,13.6,0.67,225.0,8.0,Cu,Rh,2.46945,0.38925,Pure Transition Metals
2607.0,10.0,3.780696194,1.278,14.9,-8.57093238,1.5,5.0,20.292,3.0,8.0,3.0,-9.19463357,5.0,1.25,6.4,26.095,38.59,3.0,1.83,13.6,0.62,194.0,7.0,Cu,Ru,2.508,0.4278,Pure Transition Metals
1814.0,10.0,4.463741557,1.278,1.5,-6.17209116,4.5,4.0,20.292,9.0,3.0,9.0,-6.28551309,2.5,1.44,10.0,13.85,14.1,9.0,1.47,13.6,0.73,194.0,1.0,Cu,Sc,1.89753,-0.18267,Pure Transition Metals
3290.0,10.0,4.169391995,1.278,8.1,-11.85139954,3.5,6.0,20.292,7.0,5.0,7.0,-11.85139954,3.5,1.34,6.3,25.085,36.57,7.0,1.63,13.6,0.64,229.0,3.0,Cu,Ta,2.08834,0.00814,Pure Transition Metals
2430.0,10.0,3.851649375,1.278,0.001,-10.09176138,2.5,5.0,20.292,5.0,7.0,5.0,-10.3551512,4.5,1.27,8.0,23.445,33.29,5.0,1.81,13.6,0.56,194.0,5.0,Cu,Tc,2.42637,0.34617,Pure Transition Metals
1941.0,10.0,4.056692689,1.278,2.6,-7.66126811,4.0,4.0,20.292,8.0,4.0,8.0,-7.77522712,3.0,1.32,8.6,13.875,14.15,8.0,1.52,13.6,0.61,194.0,2.0,Cu,Ti,2.03098,-0.04922,Pure Transition Metals
2183.0,10.0,3.733467966,1.278,4.0,-8.93926069,3.5,4.0,20.292,7.0,5.0,7.0,-8.93926069,3.5,1.22,8.4,17.55,21.5,7.0,1.64,13.6,0.54,229.0,3.0,Cu,V,2.15587,0.07567,Pure Transition Metals
3695.0,10.0,4.004162334,1.278,18.2,-12.95880062,3.0,6.0,20.292,6.0,6.0,6.0,-12.95880062,4.0,1.3,4.5,32.955,52.31,6.0,1.81,13.6,0.6,229.0,4.0,Cu,W,2.43774,0.35754,Pure Transition Metals
692.68,10.0,3.822215211,1.278,16.9,-1.1570915,0.0,4.0,20.292,0.0,12.0,0.0,-1.239999915,2.0,1.25,16.5,10.334,7.068,0.0,1.47,7.068,0.73,194.0,10.0,Cu,Zn,1.99861,-0.08159,Pure Transition Metals
2128.0,10.0,4.527079516,1.278,2.3,-8.46727487,4.0,5.0,20.292,8.0,4.0,8.0,-8.545958555,3.0,1.45,5.7,17.3,21.0,8.0,1.47,13.6,0.73,194.0,2.0,Cu,Zr,1.86133,-0.21887,Pure Transition Metals
1811.0,6.0,3.501224062,1.241,11.2,-8.28548436,4.0,4.0,16.18,0.0,8.0,4.0,-8.28548436,6.0,1.17,11.8,13.81,13.81,4.0,1.77,13.81,0.55,229.0,6.0,Fe,Fe,2.5968,0.0,Pure Transition Metals
1768.0,6.0,3.447656463,1.241,11.2,-6.98008657,3.5,4.0,17.06,1.0,9.0,3.0,-7.080389145,4.5,1.16,11.8,15.005,16.2,4.0,1.77,13.81,0.55,194.0,7.0,Fe,Co,2.64035,0.04355,Pure Transition Metals
2180.0,6.0,3.550558664,1.241,7.9,-9.50480758,4.5,4.0,16.5,1.0,6.0,5.0,-9.50571654,6.0,1.18,4.9,17.405,21.0,5.0,1.77,13.81,0.55,229.0,5.0,Fe,Cr,2.50346,-0.09334,Pure Transition Metals
2739.0,6.0,3.84489682,1.241,11.2,-8.22715557,3.5,6.0,16.18,1.0,9.0,3.0,-8.84851145,4.5,1.27,6.4,27.465,41.12,4.0,1.83,13.81,0.55,225.0,7.0,Fe,Ir,2.70034,0.10354,Pure Transition Metals
2896.0,6.0,3.973998007,1.241,11.2,-10.84610777,4.5,5.0,16.461,1.0,6.0,5.0,-10.84610777,6.0,1.3,4.8,25.645,37.48,5.0,1.77,13.81,0.55,229.0,5.0,Fe,Mo,2.45985,-0.13695,Pure Transition Metals
2750.0,6.0,4.173988903,1.241,6.6,-10.09332153,5.0,5.0,16.18,2.0,5.0,6.0,-10.09332153,5.5,1.34,7.3,21.905,30.0,6.0,1.77,13.81,0.55,229.0,4.0,Fe,Nb,2.4163,-0.1805,Pure Transition Metals
1728.0,6.0,3.456049039,1.241,11.2,-5.43913904,3.0,4.0,18.168,2.0,10.0,2.0,-5.54632457,4.5,1.15,11.8,15.645,17.48,4.0,1.77,13.81,0.55,225.0,8.0,Fe,Ni,2.5172,-0.0796,Pure Transition Metals
2237.0,6.0,3.79278409,1.241,11.2,-6.90998391,3.0,5.0,18.08,2.0,9.0,2.0,-7.25364552,6.0,1.25,8.2,20.2,26.59,4.0,1.77,13.81,0.55,225.0,8.0,Fe,Rh,2.56039,-0.03641,Pure Transition Metals
2607.0,6.0,3.780696194,1.241,11.2,-8.57093238,3.5,5.0,16.76,1.0,8.0,3.0,-9.19463357,7.0,1.25,6.4,26.2,38.59,4.0,1.83,13.81,0.55,194.0,7.0,Fe,Ru,2.5755,-0.0213,Pure Transition Metals
2430.0,6.0,3.851649375,1.241,0.001,-10.09176138,4.5,5.0,16.18,1.0,7.0,5.0,-10.3551512,6.5,1.27,8.0,23.55,33.29,5.0,1.81,13.81,0.55,194.0,5.0,Fe,Tc,2.50765,-0.08915,Pure Transition Metals
1941.0,6.0,4.056692689,1.241,2.6,-7.66126811,6.0,4.0,16.18,4.0,4.0,8.0,-7.77522712,5.0,1.32,8.6,13.98,14.15,8.0,1.77,13.81,0.55,194.0,2.0,Fe,Ti,2.45719,-0.13961,Pure Transition Metals
2183.0,6.0,3.733467966,1.241,4.0,-8.93926069,5.5,4.0,16.18,3.0,5.0,7.0,-8.93926069,5.5,1.22,8.4,17.655,21.5,7.0,1.77,13.81,0.54,229.0,3.0,Fe,V,2.51386,-0.08294,Pure Transition Metals
3695.0,6.0,4.004162334,1.241,11.2,-12.95880062,5.0,6.0,16.18,2.0,6.0,6.0,-12.95880062,6.0,1.3,4.5,33.06,52.31,6.0,1.81,13.81,0.55,229.0,4.0,Fe,W,2.50008,-0.09672,Pure Transition Metals
692.68,6.0,3.822215211,1.241,11.2,-1.1570915,2.0,4.0,17.964,4.0,12.0,0.0,-1.239999915,4.0,1.25,11.8,10.439,7.068,4.0,1.77,7.068,0.55,194.0,10.0,Fe,Zn,2.43732,-0.15948,Pure Transition Metals
1357.77,6.0,3.537821124,1.241,11.2,-3.64288728,2.0,4.0,20.292,4.0,11.0,0.0,-3.68065482,4.0,1.17,11.8,13.705,13.6,4.0,1.77,13.6,0.55,225.0,10.0,Fe,Cu,2.39882,-0.19798,Pure Transition Metals
1519.0,6.0,3.474656242,1.24,0.5,-8.87041076,4.5,4.0,16.18,1.0,7.0,5.0,-9.02056525,6.5,1.17,11.8,13.36,12.91,5.0,1.77,12.91,0.55,217.0,5.0,Fe,Mn,2.42964,-0.16716,Pure Transition Metals
1234.93,6.0,4.027313074,1.241,11.2,-2.71997917,2.0,5.0,21.49,4.0,11.0,0.0,-2.76539356,4.0,1.34,11.8,12.555,11.3,4.0,1.77,11.3,0.55,225.0,10.0,Fe,Ag,2.32068,-0.27612,Pure Transition Metals
1337.33,6.0,4.057502731,1.241,11.2,-3.18445282,2.0,6.0,20.521,4.0,11.0,0.0,-3.20969261,4.5,1.34,11.8,13.18,12.55,4.0,1.77,12.55,0.55,225.0,10.0,Fe,Au,2.34592,-0.25088,Pure Transition Metals
594.22,6.0,4.272293466,1.241,11.2,-0.74033904,2.0,5.0,16.908,4.0,12.0,0.0,-0.812174225,4.0,1.41,11.8,10.01,6.21,4.0,1.77,6.21,0.55,194.0,10.0,Fe,Cd,2.26771,-0.32909,Pure Transition Metals
2506.0,6.0,4.461398209,1.241,3.4,-9.77464936,6.0,6.0,16.18,4.0,4.0,8.0,-9.954299335,5.0,1.44,5.9,20.505,27.2,8.0,1.77,13.81,0.55,194.0,2.0,Fe,Hf,2.32154,-0.27526,Pure Transition Metals
234.32,6.0,4.656246199,1.241,1.0,-0.15983096,2.0,6.0,18.759,4.0,12.0,0.0,-0.250105562,4.0,1.49,11.8,8.0525,2.295,4.0,1.77,2.295,0.55,166.0,10.0,Fe,Hg,2.25118,-0.34562,Pure Transition Metals
3306.0,6.0,3.834043137,1.241,11.2,-10.33236566,4.0,6.0,16.18,0.0,8.0,4.0,-11.22070399,7.0,1.26,5.1,35.83,57.85,4.0,1.85,13.81,0.55,194.0,6.0,Fe,Os,2.72278,0.12598,Pure Transition Metals
1828.05,6.0,3.862851303,1.241,10.0,-5.0910129,2.0,5.0,19.63,4.0,10.0,0.0,-5.13777457,5.0,1.28,11.8,15.275,16.74,4.0,1.77,13.81,0.55,225.0,10.0,Fe,Pd,2.45233,-0.14447,Pure Transition Metals
2041.4,6.0,3.91660681,1.241,9.4,-5.92513799,2.5,6.0,18.563,3.0,10.0,1.0,-6.02850968,5.0,1.3,8.8,17.9925,22.175,4.0,1.78,13.81,0.55,225.0,9.0,Fe,Pt,2.59378,-0.00302,Pure Transition Metals
1814.0,6.0,4.463741557,1.241,1.5,-6.17209116,6.5,4.0,16.18,5.0,3.0,9.0,-6.28551309,4.5,1.44,10.0,13.955,14.1,9.0,1.77,13.81,0.55,194.0,1.0,Fe,Sc,2.31133,-0.28547,Pure Transition Metals
3290.0,6.0,4.169391995,1.241,8.1,-11.85139954,5.5,6.0,16.18,3.0,5.0,7.0,-11.85139954,5.5,1.34,6.3,25.19,36.57,7.0,1.77,13.81,0.55,229.0,3.0,Fe,Ta,2.39758,-0.19922,Pure Transition Metals
2128.0,6.0,4.527079516,1.241,2.3,-8.46727487,6.0,5.0,16.18,4.0,4.0,8.0,-8.545958555,5.0,1.45,5.7,17.405,21.0,8.0,1.77,13.81,0.55,194.0,2.0,Fe,Zr,2.29169,-0.30511,Pure Transition Metals
3459.0,6.0,3.884620563,1.241,5.8,-12.10177805,4.5,6.0,16.18,1.0,7.0,5.0,-12.41702777,6.5,1.28,6.2,23.945,34.08,5.0,1.85,13.81,0.53,194.0,5.0,Fe,Re,2.66457,0.06777,Pure Transition Metals
