Site2_MeltingT_min_value,Site2_MeltingT_arithmetic_average,Site2_MeltingT_max_value,Site1_NdUnfilled_min_value,Site2_MeltingT_composition_average,Site2_GSenergy_pa_min_value,Site1_AtomicRadii_max_value,Site1_AtomicRadii_arithmetic_average,Site1_NdUnfilled_arithmetic_average,Site1_AtomicRadii_composition_average,Site2_GSenergy_pa_max_value,Site2_BCCenergy_pa_max_value,Site1_NdUnfilled_composition_average,Site1_AtomicRadii_min_value,MeltingT_difference,Site2_GSenergy_pa_composition_average,Site2_BCCenergy_pa_composition_average,Site2_BCCenergy_pa_min_value,Site1_NdUnfilled_max_value,IonicRadii_arithmetic_average,Site2_BCCenergy_pa_arithmetic_average,ElasticModulus_min_value,AtomicVolume_difference,IonicRadii_composition_average,Site1_HHIr_arithmetic_average,group,mat,E_regression_shift
1357.77,1357.77,1357.77,0.0,1357.77,-3.68065482,1.43,1.43,0.0,1.43,-3.68065482,-3.64288728,0.0,1.43,424.3,-3.68065482,-3.64288728,-3.64288728,0.0,0.635,-3.64288728,70.5,4.764482585610001,0.635,1000.0,non-transition_metals,[Al][Cu],-0.07002
1770.0,1770.0,1770.0,0.0,1770.0,-4.563633745,1.43,1.43,0.0,1.43,-4.563633745,-4.42187783,0.0,1.43,836.53,-4.563633745,-4.42187783,-4.42187783,0.0,0.77,-4.42187783,70.5,14.0416438495035,0.77,1000.0,non-transition_metals,[Al][Er],-0.10337
1811.0,1811.0,1811.0,0.0,1811.0,-8.28548436,1.43,1.43,0.0,1.43,-8.28548436,-8.28548436,0.0,1.43,877.53,-8.28548436,-8.28548436,-8.28548436,0.0,0.545,-8.28548436,70.5,4.817059547967601,0.545,1000.0,non-transition_metals,[Al][Fe],0.8777
302.91,302.91,302.91,0.0,302.91,-3.0122553025,1.43,1.43,0.0,1.43,-3.0122553025,-2.97839076,0.0,1.43,630.56,-3.0122553025,-2.97839076,-2.97839076,0.0,0.5800000000000001,-2.97839076,11.0,3.0160889655725,0.5800000000000001,1000.0,non-transition_metals,[Al][Ga],-0.07761
1211.4,1211.4,1211.4,0.0,1211.4,-4.616039545,1.43,1.43,0.0,1.43,-4.616039545,-4.27836489,0.0,1.43,277.93000000000006,-4.616039545,-4.27836489,-4.27836489,0.0,0.535,-4.27836489,70.5,6.066551864848702,0.535,1000.0,non-transition_metals,[Al][Ge],-0.11104
2506.0,2506.0,2506.0,0.0,2506.0,-9.954299335,1.43,1.43,0.0,1.43,-9.954299335,-9.77464936,0.0,1.43,1572.53,-9.954299335,-9.77464936,-9.77464936,0.0,0.685,-9.77464936,70.5,5.674286676930901,0.685,1000.0,non-transition_metals,[Al][Hf],0.79709
234.32,234.32,234.32,0.0,234.32,-0.250105562414,1.43,1.43,0.0,1.43,-0.250105562414,-0.15983096,0.0,1.43,699.1500000000001,-0.250105562414,-0.15983096,-0.15983096,0.0,0.78,-0.15983096,22.0,8.0173175521203,0.78,1000.0,non-transition_metals,[Al][Hg],-0.18024
429.75,429.75,429.75,0.0,429.75,-2.66680196,1.43,1.43,0.0,1.43,-2.66680196,-2.65390512,0.0,1.43,503.72,-2.66680196,-2.65390512,-2.65390512,0.0,0.67,-2.65390512,14.0,9.4882336428788,0.67,1000.0,non-transition_metals,[Al][In],-0.16474
2739.0,2739.0,2739.0,0.0,2739.0,-8.84851145,1.43,1.43,0.0,1.43,-8.84851145,-8.22715557,0.0,1.43,1805.53,-8.84851145,-8.22715557,-8.22715557,0.0,0.585,-8.22715557,70.5,2.445874048897199,0.585,1000.0,non-transition_metals,[Al][Ir],0.9591
1193.0,1193.0,1193.0,0.0,1193.0,-4.927546185,1.43,1.43,0.0,1.43,-4.927546185,-4.79586452,0.0,1.43,259.53,-4.927546185,-4.79586452,-4.79586452,0.0,0.85,-4.79586452,50.0,20.9362216012932,0.85,1000.0,non-transition_metals,[Al][La],-0.48849
923.0,923.0,923.0,0.0,923.0,-1.54227231,1.43,1.43,0.0,1.43,-1.54227231,-1.51367083,0.0,1.43,10.470000000000027,-1.54227231,-1.51367083,-1.51367083,0.0,0.63,-1.51367083,44.4,6.6278685781168,0.63,1000.0,non-transition_metals,[Al][Mg],-0.01939
1519.0,1519.0,1519.0,0.0,1519.0,-9.02056525034,1.43,1.43,0.0,1.43,-9.02056525034,-8.87041076,0.0,1.43,585.53,-9.02056525034,-8.87041076,-8.87041076,0.0,0.605,-8.87041076,70.5,4.381720051911399,0.605,1000.0,non-transition_metals,[Al][Mn],0.6552
2896.0,2896.0,2896.0,0.0,2896.0,-10.84610777,1.43,1.43,0.0,1.43,-10.84610777,-10.84610777,0.0,1.43,1962.53,-10.84610777,-10.84610777,-10.84610777,0.0,0.565,-10.84610777,70.5,1.093543829707599,0.565,1000.0,non-transition_metals,[Al][Mo],1.7601
370.87,370.87,370.87,0.0,370.87,-1.26024138333,1.43,1.43,0.0,1.43,-1.26024138333,-1.2544847,0.0,1.43,562.6,-1.26024138333,-1.2544847,-1.2544847,0.0,0.78,-1.2544847,5.0,22.8439043647428,0.78,1000.0,non-transition_metals,[Al][Na],-0.06923
2750.0,2750.0,2750.0,0.0,2750.0,-10.09332153,1.43,1.43,0.0,1.43,-10.09332153,-10.09332153,0.0,1.43,1816.53,-10.09332153,-10.09332153,-10.09332153,0.0,0.5900000000000001,-10.09332153,70.5,1.4077084628069017,0.5900000000000001,1000.0,non-transition_metals,[Al][Nb],1.4009
1294.0,1294.0,1294.0,0.0,1294.0,-4.76235134,1.43,1.43,0.0,1.43,-4.76235134,-4.6307523,0.0,1.43,360.53,-4.76235134,-4.6307523,-4.6307523,0.0,0.915,-4.6307523,38.0,17.574630364944397,0.915,1000.0,non-transition_metals,[Al][Nd],-0.3353
1728.0,1728.0,1728.0,0.0,1728.0,-5.54632457,1.43,1.43,0.0,1.43,-5.54632457,-5.43913904,0.0,1.43,794.53,-5.54632457,-5.43913904,-5.43913904,0.0,0.615,-5.43913904,70.5,5.653140075804799,0.615,1000.0,non-transition_metals,[Al][Ni],0.33349
3306.0,3306.0,3306.0,0.0,3306.0,-11.22070399,1.43,1.43,0.0,1.43,-11.22070399,-10.33236566,0.0,1.43,2372.53,-11.22070399,-10.33236566,-10.33236566,0.0,0.585,-10.33236566,70.5,2.6107268494198994,0.585,1000.0,non-transition_metals,[Al][Os],1.54
317.3,317.3,317.3,0.0,317.3,-5.4005090425,1.43,1.43,0.0,1.43,-5.4005090425,-4.6830362,0.0,1.43,616.1700000000001,-5.4005090425,-4.6830362,-4.6830362,0.0,0.355,-4.6830362,5.0,11.6196972991313,0.355,1000.0,non-transition_metals,[Al][P],-0.22713
600.61,600.61,600.61,0.0,600.61,-3.62902961,1.43,1.43,0.0,1.43,-3.62902961,-3.58277457,0.0,1.43,332.86,-3.62902961,-3.58277457,-3.58277457,0.0,0.865,-3.58277457,20.0,13.746998495229398,0.865,1000.0,non-transition_metals,[Al][Pb],-0.32056
1828.05,1828.05,1828.05,0.0,1828.05,-5.13777457,1.43,1.43,0.0,1.43,-5.13777457,-5.0910129,0.0,1.43,894.5799999999999,-5.13777457,-5.0910129,-5.0910129,0.0,0.5900000000000001,-5.0910129,70.5,1.8960382489461995,0.5900000000000001,1000.0,non-transition_metals,[Al][Pd],0.25651
2041.4,2041.4,2041.4,0.0,2041.4,-6.02850968,1.43,1.43,0.0,1.43,-6.02850968,-5.92513799,0.0,1.43,1107.93,-6.02850968,-5.92513799,-5.92513799,0.0,0.585,-5.92513799,70.5,1.2339610107756993,0.585,1000.0,non-transition_metals,[Al][Pt],0.33779
3459.0,3459.0,3459.0,0.0,3459.0,-12.417027765,1.43,1.43,0.0,1.43,-12.417027765,-12.10177805,0.0,1.43,2525.53,-12.417027765,-12.10177805,-12.10177805,0.0,0.535,-12.10177805,70.5,1.8840902878964003,0.535,1000.0,non-transition_metals,[Al][Re],1.9229
2237.0,2237.0,2237.0,0.0,2237.0,-7.25364552,1.43,1.43,0.0,1.43,-7.25364552,-6.90998391,0.0,1.43,1303.53,-7.25364552,-6.90998391,-6.90998391,0.0,0.605,-6.90998391,70.5,2.8689147067624,0.605,1000.0,non-transition_metals,[Al][Rh],0.8024
2607.0,2607.0,2607.0,0.0,2607.0,-9.19463357,1.43,1.43,0.0,1.43,-9.19463357,-8.57093238,0.0,1.43,1673.53,-9.19463357,-8.57093238,-8.57093238,0.0,0.5800000000000001,-8.57093238,70.5,3.0265501082098005,0.5800000000000001,1000.0,non-transition_metals,[Al][Ru],1.3302
388.36,388.36,388.36,0.0,388.36,-4.09721671875,1.43,1.43,0.0,1.43,-4.09721671875,-3.00278915,0.0,1.43,545.11,-4.09721671875,-3.00278915,-3.00278915,0.0,0.415,-3.00278915,19.0,10.5721212771613,0.415,1000.0,non-transition_metals,[Al][S],-0.15472
903.78,903.78,903.78,0.0,903.78,-4.11736234,1.43,1.43,0.0,1.43,-4.11736234,-3.88991513,0.0,1.43,29.69000000000005,-4.11736234,-3.88991513,-3.88991513,0.0,0.65,-3.88991513,67.0,13.596998926279198,0.65,1000.0,non-transition_metals,[Al][Sb],-0.24038
1814.0,1814.0,1814.0,0.0,1814.0,-6.28551309,1.43,1.43,0.0,1.43,-6.28551309,-6.17209116,0.0,1.43,880.53,-6.28551309,-6.17209116,-6.17209116,0.0,0.645,-6.17209116,70.5,8.414886401081699,0.645,1000.0,non-transition_metals,[Al][Sc],0.30159
494.0,494.0,494.0,0.0,494.0,-3.47079191,1.43,1.43,0.0,1.43,-3.47079191,-2.90074111,0.0,1.43,439.47,-3.47079191,-2.90074111,-2.90074111,0.0,0.52,-2.90074111,20.0,10.6143801083177,0.52,1000.0,non-transition_metals,[Al][Se],-0.44259
1687.0,1687.0,1687.0,0.0,1687.0,-5.424918005,1.43,1.43,0.0,1.43,-5.424918005,-4.90201039,0.0,1.43,753.53,-5.424918005,-4.90201039,-4.90201039,0.0,0.4,-4.90201039,70.5,3.421953199102901,0.4,1000.0,non-transition_metals,[Al][Si],-0.15373
505.08,505.08,505.08,0.0,505.08,-3.96104709,1.43,1.43,0.0,1.43,-3.96104709,-3.89492544,0.0,1.43,428.39,-3.96104709,-3.89492544,-3.89492544,0.0,0.625,-3.89492544,50.0,10.3723607445547,0.625,1000.0,non-transition_metals,[Al][Sn],-0.1955
3290.0,3290.0,3290.0,0.0,3290.0,-11.85139954,1.43,1.43,0.0,1.43,-11.85139954,-11.85139954,0.0,1.43,2356.53,-11.85139954,-11.85139954,-11.85139954,0.0,0.5900000000000001,-11.85139954,70.5,1.4523050416739984,0.5900000000000001,1000.0,non-transition_metals,[Al][Ta],1.5159
2430.0,2430.0,2430.0,0.0,2430.0,-10.355151195,1.43,1.43,0.0,1.43,-10.355151195,-10.09176138,0.0,1.43,1496.53,-10.355151195,-10.09176138,-10.09176138,0.0,0.55,-10.09176138,70.5,2.4434130089832,0.55,1000.0,non-transition_metals,[Al][Tc],1.7083
722.66,722.66,722.66,0.0,722.66,-3.14130250667,1.43,1.43,0.0,1.43,-3.14130250667,-2.83411842,0.0,1.43,210.8100000000001,-3.14130250667,-2.83411842,-2.83411842,0.0,0.755,-2.83411842,40.0,17.3622642050373,0.755,1000.0,non-transition_metals,[Al][Te],-0.36132
1941.0,1941.0,1941.0,0.0,1941.0,-7.77522712,1.43,1.43,0.0,1.43,-7.77522712,-7.66126811,0.0,1.43,1007.53,-7.77522712,-7.66126811,-7.66126811,0.0,0.575,-7.66126811,70.5,1.0418926412962008,0.575,1000.0,non-transition_metals,[Al][Ti],0.94129
577.0,577.0,577.0,0.0,577.0,-2.27267753,1.43,1.43,0.0,1.43,-2.27267753,-2.25289773,0.0,1.43,356.47,-2.27267753,-2.25289773,-2.25289773,0.0,1.065,-2.25289773,12.0,12.0464520433983,1.065,1000.0,non-transition_metals,[Al][Tl],-0.27676
2183.0,2183.0,2183.0,0.0,2183.0,-8.93926069,1.43,1.43,0.0,1.43,-8.93926069,-8.93926069,0.0,1.43,1249.53,-8.93926069,-8.93926069,-8.93926069,0.0,0.54,-8.93926069,70.5,2.7495262965297,0.54,1000.0,non-transition_metals,[Al][V],1.3412
3695.0,3695.0,3695.0,0.0,3695.0,-12.95880062,1.43,1.43,0.0,1.43,-12.95880062,-12.95880062,0.0,1.43,2761.53,-12.95880062,-12.95880062,-12.95880062,0.0,0.5700000000000001,-12.95880062,70.5,0.7356900935147994,0.5700000000000001,1000.0,non-transition_metals,[Al][W],1.9362
1799.0,1799.0,1799.0,0.0,1799.0,-6.464599775,1.43,1.43,0.0,1.43,-6.464599775,-6.34029752,0.0,1.43,865.53,-6.464599775,-6.34029752,-6.34029752,0.0,0.78,-6.34029752,64.4,16.418788365009704,0.78,1000.0,non-transition_metals,[Al][Y],-0.14998
692.68,692.68,692.68,0.0,692.68,-1.239999915,1.43,1.43,0.0,1.43,-1.239999915,-1.1570915,0.0,1.43,240.79000000000008,-1.239999915,-1.1570915,-1.1570915,0.0,0.64,-1.1570915,70.5,1.3887407827073996,0.64,1000.0,non-transition_metals,[Al][Zn],-0.08491
2128.0,2128.0,2128.0,0.0,2128.0,-8.545958555,1.43,1.43,0.0,1.43,-8.545958555,-8.46727487,0.0,1.43,1194.53,-8.545958555,-8.46727487,-8.46727487,0.0,0.69,-8.46727487,70.5,6.6715187516816,0.69,1000.0,non-transition_metals,[Al][Zr],0.65613
1337.33,1337.33,1337.33,0.0,1337.33,-3.20969261,1.442,1.442,0.0,1.442,-3.20969261,-3.18445282,0.0,1.442,0.0,-3.20969261,-3.18445282,-3.18445282,0.0,0.85,-3.18445282,78.3,0.0,0.85,1000.0,transition_metals,[Au][Au],0.0
1234.93,1234.93,1234.93,0.0,1234.93,-2.76539356,1.442,1.442,0.0,1.442,-2.76539356,-2.71997917,0.0,1.442,102.39999999999986,-2.76539356,-2.71997917,-2.71997917,0.0,1.0,-2.71997917,78.3,0.128584333410302,1.0,1000.0,transition_metals,[Au][Ag],0.0348
594.22,594.22,594.22,0.0,594.22,-0.812174225,1.442,1.442,0.0,1.442,-0.812174225,-0.74033904,0.0,1.442,743.1099999999999,-0.812174225,-0.74033904,-0.74033904,0.0,0.8999999999999999,-0.74033904,62.0,4.6329618393145005,0.8999999999999999,1000.0,transition_metals,[Au][Cd],-0.0552
2896.0,2896.0,2896.0,0.0,2896.0,-10.84610777,1.442,1.442,0.0,1.442,-10.84610777,-10.84610777,0.0,1.442,1558.67,-10.84610777,-10.84610777,-10.84610777,0.0,0.72,-10.84610777,78.3,1.4461829286781978,0.72,1000.0,transition_metals,[Au][Mo],1.0278
2750.0,2750.0,2750.0,0.0,2750.0,-10.09332153,1.442,1.442,0.0,1.442,-10.09332153,-10.09332153,0.0,1.442,1412.67,-10.09332153,-10.09332153,-10.09332153,0.0,0.745,-10.09332153,78.3,1.055069363836303,0.745,1000.0,transition_metals,[Au][Nb],0.978
1828.05,1828.05,1828.05,0.0,1828.05,-5.13777457,1.442,1.442,0.0,1.442,-5.13777457,-5.0910129,0.0,1.442,490.72,-5.13777457,-5.0910129,-5.0910129,0.0,0.745,-5.0910129,78.3,2.2486773479167983,0.745,1000.0,transition_metals,[Au][Pd],0.4194
2237.0,2237.0,2237.0,0.0,2237.0,-7.25364552,1.442,1.442,0.0,1.442,-7.25364552,-6.90998391,0.0,1.442,899.6700000000001,-7.25364552,-6.90998391,-6.90998391,0.0,0.76,-6.90998391,78.3,3.2215538057329987,0.76,1000.0,transition_metals,[Au][Rh],0.7576
2607.0,2607.0,2607.0,0.0,2607.0,-9.19463357,1.442,1.442,0.0,1.442,-9.19463357,-8.57093238,0.0,1.442,1269.67,-9.19463357,-8.57093238,-8.57093238,0.0,0.735,-8.57093238,78.3,3.3791892071804,0.735,1000.0,transition_metals,[Au][Ru],0.9326
2430.0,2430.0,2430.0,0.0,2430.0,-10.355151195,1.442,1.442,0.0,1.442,-10.355151195,-10.09176138,0.0,1.442,1092.67,-10.355151195,-10.09176138,-10.09176138,0.0,0.7050000000000001,-10.09176138,78.3,2.7960521079537983,0.7050000000000001,1000.0,transition_metals,[Au][Tc],1.0052
1799.0,1799.0,1799.0,0.0,1799.0,-6.464599775,1.442,1.442,0.0,1.442,-6.464599775,-6.34029752,0.0,1.442,461.6700000000001,-6.464599775,-6.34029752,-6.34029752,0.0,0.935,-6.34029752,64.4,16.066149266039105,0.935,1000.0,transition_metals,[Au][Y],0.0704
2128.0,2128.0,2128.0,0.0,2128.0,-8.545958555,1.442,1.442,0.0,1.442,-8.545958555,-8.46727487,0.0,1.442,790.6700000000001,-8.545958555,-8.46727487,-8.46727487,0.0,0.845,-8.46727487,78.3,6.318879652711001,0.845,1000.0,transition_metals,[Au][Zr],0.6971
1115.0,1115.0,1115.0,0.0,1115.0,-1.948329565,1.97,1.97,0.0,1.97,-1.948329565,-1.92725921,0.0,1.97,0.0,-1.948329565,-1.92725921,-1.92725921,0.0,1.0,-1.92725921,21.0,0.0,1.0,1500.0,non-transition_metals,[Ca][Ca],0.0
1234.93,1234.93,1234.93,0.0,1234.93,-2.76539356,1.97,1.97,0.0,1.97,-2.76539356,-2.71997917,0.0,1.97,119.93000000000006,-2.76539356,-2.71997917,-2.71997917,0.0,1.075,-2.71997917,21.0,25.8615393525808,1.075,1500.0,non-transition_metals,[Ca][Ag],-0.11076
594.22,594.22,594.22,0.0,594.22,-0.812174225,1.97,1.97,0.0,1.97,-0.812174225,-0.74033904,0.0,1.97,520.78,-0.812174225,-0.74033904,-0.74033904,0.0,0.975,-0.74033904,21.0,21.3571618466766,0.975,1500.0,non-transition_metals,[Ca][Cd],-0.03195
2750.0,2750.0,2750.0,0.0,2750.0,-10.09332153,1.97,1.97,0.0,1.97,-10.09332153,-10.09332153,0.0,1.97,1635.0,-10.09332153,-10.09332153,-10.09332153,0.0,0.8200000000000001,-10.09332153,21.0,24.9350543221548,0.8200000000000001,1500.0,non-transition_metals,[Ca][Nb],0.848
1799.0,1799.0,1799.0,0.0,1799.0,-6.464599775,1.97,1.97,0.0,1.97,-6.464599775,-6.34029752,0.0,1.97,684.0,-6.464599775,-6.34029752,-6.34029752,0.0,1.01,-6.34029752,21.0,9.923974419951996,1.01,1500.0,non-transition_metals,[Ca][Y],0.29815
2128.0,2128.0,2128.0,0.0,2128.0,-8.545958555,1.97,1.97,0.0,1.97,-8.545958555,-8.46727487,0.0,1.97,1013.0,-8.545958555,-8.46727487,-8.46727487,0.0,0.92,-8.46727487,21.0,19.6712440332801,0.92,1500.0,non-transition_metals,[Ca][Zr],0.63619
1357.77,1357.77,1357.77,0.0,1357.77,-3.68065482,1.278,1.278,0.0,1.278,-3.68065482,-3.64288728,0.0,1.278,0.0,-3.68065482,-3.64288728,-3.64288728,0.0,0.73,-3.64288728,124.0,0.0,0.73,1500.0,transition_metals,[Cu][Cu],0.0
1234.93,1234.93,1234.93,0.0,1234.93,-2.76539356,1.278,1.278,0.0,1.278,-2.76539356,-2.71997917,0.0,1.278,122.83999999999992,-2.76539356,-2.71997917,-2.71997917,0.0,0.94,-2.71997917,80.0,5.245706017990901,0.94,1500.0,transition_metals,[Cu][Ag],-0.1328
933.47,933.47,933.47,0.0,933.47,-3.74542312,1.278,1.278,0.0,1.278,-3.74542312,-3.65018713,0.0,1.278,424.3,-3.74542312,-3.65018713,-3.65018713,0.0,0.635,-3.65018713,70.5,4.764482585610001,0.635,1500.0,transition_metals,[Cu][Al],-0.05359
1337.33,1337.33,1337.33,0.0,1337.33,-3.20969261,1.278,1.278,0.0,1.278,-3.20969261,-3.18445282,0.0,1.278,20.44000000000005,-3.20969261,-3.18445282,-3.18445282,0.0,0.79,-3.18445282,78.3,5.117121684580599,0.79,1500.0,transition_metals,[Cu][Au],-0.10813
544.4,544.4,544.4,0.0,544.4,-3.9736944,1.278,1.278,0.0,1.278,-3.9736944,-3.89538374,0.0,1.278,813.37,-3.9736944,-3.89538374,-3.89538374,0.0,0.88,-3.89538374,34.0,23.653517150306502,0.88,1500.0,transition_metals,[Cu][Bi],-0.44205
594.22,594.22,594.22,0.0,594.22,-0.812174225,1.278,1.278,0.0,1.278,-0.812174225,-0.74033904,0.0,1.278,763.55,-0.812174225,-0.74033904,-0.74033904,0.0,0.84,-0.74033904,62.0,9.7500835238951,0.84,1500.0,transition_metals,[Cu][Cd],-0.18004
1768.0,1768.0,1768.0,0.0,1768.0,-7.080389145,1.278,1.278,0.0,1.278,-7.080389145,-6.98008657,0.0,1.278,410.23,-7.080389145,-6.98008657,-6.98008657,0.0,0.69,-6.98008657,124.0,0.8340812487866991,0.69,1500.0,transition_metals,[Cu][Co],0.39165
